,zipcode,street_address,person_recovered_from_race,ucr_category
15769,40272,9700_Leopold_Ct,Black,Narcotics
15771,40211,1900_Peony_Dr,Black,Narcotics
15772,40218,3300_Bardstown_Rd,Black,Wpns_Law_Violation
15773,40215,3700_Kahlert_Ave,Black,Narcotics
15774,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
15775,40222,9400_Blairwood_Rd,Black,All_Other_Offenses
15777,40202,600_W_Jefferson_St,,Wpns_Law_Violation
15778,40210,1700_W_Broadway,Black,Wpns_Law_Violation
15779,40213,4500_Poplar_Level_Rd,Black,Narcotics
15785,40229,5600_Oakridge_Pl,White,Wpns_Law_Violation
15786,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
15787,40206,1400_Frankfort_Ave,Black,Burglary
15788,40215,1800_Carl_Ct,Black,Wpns_Law_Violation
15789,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
15790,40202,600_W_Jefferson_St,,Wpns_Law_Violation
15791,40203,1100_Garvin_Pl,White,Aggravated_Assault
15792,40203,1600_Plymouth_Ct,,Aggravated_Assault
15793,40218,5500_Rustic_Way,Black,Narcotics
15795,40218,5500_Rustic_Way,Black,Narcotics
15797,40291,6900_Holly_Lake_Dr,White,Narcotics
15800,40202,600_W_Jefferson_St,Black,Robbery
15801,40202,6800_Barbrook_Rd,Black,Robbery
15802,40258,600_W_Jefferson_St,Black,Robbery
15803,40258,6800_Barbrook_Rd,Black,Robbery
15808,40216,3200_Rome_Rd,White,Burglary
15809,40202,600_W_Jefferson_St,Black,Narcotics
15812,40202,600_W_Jefferson_St,Black,Narcotics
15815,40202,600_W_Jefferson_St,Black,Narcotics
15818,40258,6100_Julie_Kays_Way,White,Aggravated_Assault
15823,40215,4300_Whitmore_Ave,White,Narcotics
15825,40215,4300_Whitmore_Ave,White,Narcotics
15827,40211,600_S_44th_St,Black,Narcotics
15829,40211,600_S_44th_St,Black,Narcotics
15831,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
15833,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
15835,40202,600_W_Jefferson_St,,Wpns_Law_Violation
15836,40202,600_W_Jefferson_St,,Burglary
15838,40202,600_W_Jefferson_St,,Wpns_Law_Violation
15839,40258,6500_Glo_Jean_Way,Hispanic,Aggravated_Assault
15841,40218,5300_Red_Fern_Rd,Black,Aggravated_Assault
15842,40202,600_W_Jefferson_St,White,Aggravated_Assault
15845,40202,600_W_Jefferson_St,White,Aggravated_Assault
15848,40202,600_W_Jefferson_St,White,Aggravated_Assault
15851,40258,7200_Alameter_Ct,White,Aggravated_Assault
15854,40216,3200_Stegner_Ave,Black,All_Other_Offenses
15855,40215,4400_Churchman_Ave,Black,Wpns_Law_Violation
15857,40215,1700_S_Wheatmore_Dr,Black,Wpns_Law_Violation
15858,40213,6500_Signature_Dr,Black,Wpns_Law_Violation
15861,40219,4700_Oaklawn_Ln,Black,Intimidation
